Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
524,9338,3,471,1192,498,12,0.5116432801804849,0.022675321110971,Acer,rubrum,red maple,Acer rubrum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Lagoons
527,9338,3,483,81,483,14,0.6179775280898877,0.0024538198087407,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Lagoons
529,9338,3,483,823,483,14,0.6778196197865085,0.0008095994510415,Acer,rubrum,red maple,Acer rubrum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Lagoons
536,9338,3,498,98,471,12,0.8438530156892918,0.0001812454824754,Acer,rubrum,red maple,Acer rubrum,Betula,lenta,sweet birch,Betula lenta,GRSM-Tremont-Lagoons
537,9338,3,498,941,498,12,0.5354496700964052,0.0181450607327122,Acer,rubrum,red maple,Acer rubrum,Nyssa,sylvatica,blackgum,Nyssa sylvatica,GRSM-Tremont-Lagoons
538,9338,3,498,970,498,12,0.5555555555555555,0.0146185963490601,Acer,rubrum,red maple,Acer rubrum,Platanus,occidentalis,American sycamore,Platanus occidentalis,GRSM-Tremont-Lagoons
541,9338,3,498,1192,498,12,0.7244319066010189,0.001390965794545,Acer,rubrum,red maple,Acer rubrum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Lagoons
542,9338,60,483,76,483,14,0.6437206858203839,0.0018993600280759,Acer,pensylvanicum,striped maple,Acer pensylvanicum,Hamamelis,virginiana,American witchhazel,Hamamelis virginiana,GRSM-Tremont-Lagoons
543,9338,60,483,81,483,14,0.4067861532350118,0.0470831681868926,Acer,pensylvanicum,striped maple,Acer pensylvanicum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Lagoons
547,9338,60,483,970,483,14,0.5142941109928062,0.0127092012460418,Acer,pensylvanicum,striped maple,Acer pensylvanicum,Platanus,occidentalis,American sycamore,Platanus occidentalis,GRSM-Tremont-Lagoons
549,9338,60,483,1192,483,14,0.5942954171472428,0.0039839305780109,Acer,pensylvanicum,striped maple,Acer pensylvanicum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Lagoons
